data_coleta;ticker;descricao;patrimonio;p_vp;dy;dy_5anos;liquidez;tipo;segmento
2026-04-24;RECT11;Fii Rec Renda Imobiliária;766,84 M;0,43;12,61;11,2;450,99 K;Outro;Híbrido
2026-04-24;RVBI11;Vbi Reits Fof (Old);760,04 M;0,81;6,97;11,14;1,18 M;Fundo de Fundos;Títulos e Valores Mobiliários
2026-04-24;XPIN11;Invista Industrial;751,80 M;0,65;14,23;9,98;920,05 K;Fundo de Tijolo;Outros
2026-04-24;RCRB11;Rio Bravo Renda Corporativa;735,71 M;0,71;7,51;7,25;1,21 M;Fundo de Tijolo;Lajes Corporativas
2026-04-24;JSAF11;Js Ativos Financeiros;725,67 M;0,84;12,96;10,68;1,58 M;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;CCME11;Canuma Capital Multiestratégia;720,78 M;0,86;11,12;8,3;276,17 K;Fundo Misto;Outros
2026-04-24;BTAL11;Btg Pactual Agro Logística;693,77 M;0,78;12,56;10,64;773,53 K;Fundo de Tijolo;Outros
2026-04-24;RZAG11;Fdo Inv Cadeias Prod Agro Riza Agro;678,87 M;0,94;16,15;12,78;1,43 M;Outro;Fiagros
2026-04-24;RBRL11;Rbr Log;677,48 M;0,84;10,58;9,73;2,15 M;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-04-24;CPUR11;Classe Única Do Capitânia Hbc Renda Urbana;665,11 M;1,06;10,7;9,33;12,34 M;Outro;Híbrido
2026-04-24;SNAG11;Suno Agro;654,38 M;1,05;14,39;11,05;2,30 M;Outro;Fiagros
2026-04-24;MFII11;Mérito Desenvolvimento Imobiliário;654,34 M;0,75;17,89;13,8;2,34 M;Fundo de Desenvolvimento;Híbrido
2026-04-24;KFOF11;Kinea Fii;654,10 M;0,9;11,18;10,28;1,03 M;Fundo de Fundos;Títulos e Valores Mobiliários
2026-04-24;TRBL11;Fdo De Invest Imob Tellus Rio Bravo Renda Logistic;630,98 M;0,94;9,75;9,77;1,83 M;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-04-24;VIGT11;Vinci Energia;605,06 M;0,76;4,34;8,4;288,55 K;Outro;Fundo de Investimentos em Participações (FIP)
2026-04-24;TJKB11;Tjk Renda Imobiliária;604,56 M;0,5;13,33;10,43;879,12 K;Outro;Lajes Corporativas
2026-04-24;ITRI11;Itaú Total Return Fii;598,97 M;0,92;11,86;10,47;1,03 M;Fundo Misto;Títulos e Valores Mobiliários
2026-04-24;FATN11;Athena I;579,69 M;0,9;11,03;10,39;1,90 M;Fundo de Tijolo;Lajes Corporativas
2026-04-24;BODB11;Bocaina Infra;562,37 M;0,93;14,59;10,07;1,16 M;Outro;Fundo de Infraestrutura (FI-Infra)
2026-04-24;PQDP11;Parque Dom Pedro Shopping Center;533,58 M;0,98;9,21;9,07;177,78 K;Fundo de Tijolo;Shoppings / Varejo
2026-04-24;BCRI11;Banestes Recebíveis Imobiliários;533,54 M;0,76;15,51;13,62;431,06 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-04-24;RZAT11;Riza Arctium Real Estate;533,31 M;0,75;12,94;14,17;655,88 K;Fundo de Tijolo;Híbrido
2026-04-24;IBBP11;Invista Brazilian Business Park Fii;526,39 M;0,81;10,94;10,29;1,89 M;Fundo Misto;Logístico / Indústria / Galpões
